Name,Latitude,Longitude,Elevation
"Abby Rappoport, LAC, CMQ",34,119,40
The UPS Store,38,90,186
Target,32,110,773
St Honore Pastries,39,75,23
Perkiomen Valley Brewery,40,75,72
Sonic Drive-In,36,87,135
Famous Footwear,38,90,148
Temple Beth-El,27,82,12
Tsevi's Pub And Grill,38,90,159
Sonic Drive-In,36,86,149
Marshalls,28,82,26
Vietnamese Food Truck,27,82,18
Denny's,39,86,236
Adams Dental,27,82,16
Zio's Italian Market,27,82,9
Tuna Bar,39,75,14
Arizona Truck Outfitters,32,110,722
Herb Import Co,29,90,6
Nifty Car Rental,29,90,3
BAP,39,75,11
Roast Coffeehouse and Wine Bar,53,113,662
Barnes & Noble Booksellers,39,86,225
Hibachi Express,39,86,248
Romano's Macaroni Grill,39,119,1364
Super Dog,36,86,151
Indian Walk Veterinary Center,40,74,89
H&M,34,119,23
The Green Pheasant,36,86,129
Bar One,39,75,13
Domino's Pizza,36,86,267
Altitude Trampoline Park - Boise,43,116,822
DeSandro on Main,40,75,16
DanceLine,40,75,158
Ardmore Pizza,40,75,113
River 127,29,90,21
Craft Hall,39,75,3
Cheeseburger In Paradise,40,75,94
T-Mobile,39,75,120
Edwardsville Children's Museum,38,89,173
Sierra Pro Events,39,119,1347
Diamond Hair Company,39,86,223
Tony's Restaurant & 3rd Street Cafe,38,90,138
Stomel Elliot Attorney-At-Law,39,75,17
Bala Better Health,40,75,87
Pier 1,39,75,77
China Dragon Restaurant,32,110,752
Caviar & Bananas,36,86,155
All In Shipping,38,90,167
Core de Roma,40,75,51
Gold's Gym,27,82,8
Jennie Deckert,39,86,266
Breadland Organic Whole Grain Bakery,53,113,665
Paws The Cat Cafe,53,113,661
Charlie's Market,28,82,20
Fairfield Inn & Suites,39,75,127
LensCrafters,40,75,64
Roman Forum,28,82,18
Lafitte's Landing Seafood House,29,90,0
Educational Outfitters,27,82,11
Doc Magrogan's Oyster House - West Chester,39,75,141
New Orleans Spirit Tours,29,90,7
Roy's Appliance Service,43,116,777
Big Boyz Toyz Motorcycle Rentals,32,110,746
Sweet Things Chocolates,39,86,262
Publix Super Market,28,82,12
Mr. Margarita,39,119,1393
Pottery Barn Kids,36,86,174
Chase JP Morgan Bank Credit Card Services,39,75,60
Sharky's Sports Bar & Grill,39,74,45
39 North Taproom & Grill,39,75,30
Pathmark,39,75,10
River City Games,53,113,672
Gavi Italian Restaurant,32,110,761
Top Shelf Sports Lounge,28,82,23
Fishers Freedom Festival,39,86,249
Bier Brewery and Tap Room,39,86,244
Wawa,39,75,36
Super Sushi Kyo Hin,40,74,29
AM&PM Locksmith,40,75,40
Helena Avenue Bakery,34,119,4
K-9 Groom Room,38,89,169
Copper Vine,29,90,28
Fresh Fruits & Salads,39,75,6
Mike's Ice Cream,36,86,148
Iron Horse Auto Body,34,119,10
James Dant,39,86,250
Absolutely Perfect Inc,40,74,21
TKO DJs,38,90,162
Riverview Room,29,90,8
Silver and Blue Outfitters,39,119,1356
Premier Mortgage Resources,43,116,799
Ricardo's Italian Cafe,38,90,161
Cornerstone Physical Therapy Associates,40,74,19
Saks Fifth Avenue,39,86,229
Crafty Crab,38,89,176
Mahony's Po-Boys & Seafood,29,90,15
Taqueria Los Primos,39,75,27
AIM Mail Center,32,110,849
The Pearl,27,82,4
Mighty Dustless,40,75,46
Swat Pest Control,40,75,78
Its Sold Here,40,75,92
Sunset 44 Bistro,38,90,196
America's Best Contacts & Eyeglasses,39,74,50
Budweiser Brewery Experience,38,90,163
Jamba Juice,43,116,801
Walmart Supercenter,28,82,6
Walmart Vision & Glasses,39,75,7
Giant Food Store,40,75,73
Monogram Express,30,90,2
Nashville Delivers,36,86,165
Subway,36,86,216
Cook's Glass & Mirror,39,86,235
Leslie's,32,110,793
Papa Murphy's,32,111,735
Sears Auto Center,30,90,3
Nipper's Pub,39,75,20
Golden Chopstick Chinese Restaurant,39,75,26
Altamura,29,90,11
Home Plate Sports Pub,32,110,778
Walmart Supercenter,39,86,272
Meineke Car Care Center,28,82,28
Pain Institute of Southern Arizona,32,110,705
Advance Financial,36,86,157
Santa Barbara Shellfish Company,34,119,0
"David Gower, Jr.  - Coldwell Banker Preferred",39,75,15
David Thomas Trailways,40,74,34
Payless Liquors,39,86,230
ALM Kainan,39,119,1344
Professional Healthcare of Pinellas,27,82,20
Yogurt Beach,39,119,1362
J Sushi,39,75,18
D's Toys,39,86,220
Chipotle Mexican Grill,27,82,7
Boise Therapeutic Massage Center,43,116,826
Giant Food Store,39,75,45
TD Bank Havertown,39,75,99
Wendy's,36,86,153
Stitchers' Dream,40,75,82
Lott's Service,39,74,9
Something Special,36,86,162
Bar-B-Cutie,36,86,146
Total Access Urgent Care,38,90,132
Sal DeForte's Ristorante,40,74,45
Reno Bighorns,39,119,1377
CVS Pharmacy,39,86,222
805 Ink,34,119,30
HMV Superstore,53,113,682
Inspired By Purpose Wellness Center & Yoga Studio,39,119,1352
A-1 Expert Cleaning Services,40,74,14
Willard Park,39,86,226
Elegance African Hair Braiding,39,75,31
Timber Creek Park,39,75,16
Rita's Italian Ice,39,75,56
Passport Health,38,90,158
Trust Me BBQ,27,82,13
Kinjo's Japanese Restaurant,27,82,10
Tim Hortons,53,113,674
PDQ Temple Terrace,28,82,31
Domino's Pizza,29,90,4
Giant Food Stores,39,75,12
Roma Pizza & Italian Eatery,40,75,81
Target,40,75,104
Cunningham Pest Control,39,75,90
West Coast Roofing,32,110,739
The Handlebar Boise,43,116,819
Aussie Grill,28,82,19
Wendy's,40,75,32
China Pearl,40,74,54
1-Hour Auto Glass,32,111,736
Bagelicious - King Of Prussia,40,75,36
Ottewell Animal Clinic,53,113,663
Blue Water Dental Care,39,119,1389
Bub's Cafe,39,86,253
A & A Complete Services,38,90,151
Carpet One Floor & Home,32,110,789
The Mad Griddle ,39,86,232
Beaver Hill Condominium,40,75,91
Quality Inn Nashville Downtown - Stadium,36,86,135
MDG Salon Studio,39,86,218
530 Pub & Grill,27,82,17
Wendy Warner- Medicine In Balance,40,74,56
Zakian Rug Cleaning,39,75,38
Eddie's Southtown Donuts,38,90,144
Rite Aid,39,74,36
Tomo Japanese Steakhouse and Sushi Bar,39,86,224
Zesty Tsunami,28,82,11
O'Briens Irish Pub,28,82,22
Midwest RV Center,38,90,130
"Daniel Colombo , MD",39,119,1370
Weddings in Santa Barbara,34,119,50
Mister B's Cigar Box,39,86,260
Oscar's Cafe,38,90,202
Jim's Auto Detailing,40,75,128
Jaguar Nashville,36,86,224
The Waxing Queen Of Tucson,32,110,758
Rosati's Pizza,32,111,710
The UPS Store,39,119,1367
99 Cents Only Stores,32,110,818
Lee Roy Selmon's,28,82,24
Chrysalis,35,86,236
Ballistic Fabrication,32,111,692
Nails & Beauty Lounge,27,82,32
Creature Comforts Pet Sitting,40,75,96
Scout's Treat Truck,39,86,245
CVS Pharmacy,40,75,112
Express Cafe,43,116,792
Rancho 777,39,119,1372
Western Endocrine Associates,32,110,762
Golf Galaxy,40,75,65
Master Bait and Fishing Supplies,28,82,7
Boston Pizza,53,113,685
The Cleaning Authority - Tucson,32,110,741
Restoration Hardware,36,86,183
Easy Rider Repair,39,75,67
Brown Sugar Bakery & Cafe,39,75,34
Villas at San Dorado,32,110,785
Rippy's Central Pike Collision Repair,36,86,142
Inkorporated,39,86,267
Center City Emergency Dentist,39,75,51
Olivier's Creole Restaurant,29,90,13
Parlor Suburban Square,40,75,108
Kim Kelly & Co Clinical Skin Care,40,75,103
Bulls Barbershop,28,82,27
Taqueria El Sitio,36,86,139
La Sponda,40,75,71
BurgerWorks,53,113,708
S&K Salon,32,111,651
The Cider Factory,39,119,1930
Aloft Philadelphia Airport,39,75,1
Renee Hair Salon,39,75,94
Bob Kramer鈥檚 Marionnettes,38,90,147
Federal Donuts,39,75,25
Belle Chic Salon,32,110,843
Alex Smith Hardwood Flooring,39,75,174
Pho Friendly,40,74,25
Goin' Postal Westhaven,35,86,196
Guess - Walnut Street,39,75,44
Fusion Pizza & Grill,40,75,47
Misto Diner,40,74,48
Endless Summer Tans,32,110,749
Franklin Juice Co,35,86,206
Ann Becnel Companion Dogs,30,90,1
Sher-e-Punjab,32,110,732
Foot Massage Reflexology,32,110,765
Nesbit's Magazine Street Market,29,90,19
The Steak Out,32,111,822
Bronze Lady Home Furnishings,27,82,6
Mr Wizard Worcester Car Wash,40,75,143
PAWS  Plaquemines Animal Welfare Society,29,89,4
Domino's Pizza,39,86,219
Saltwater Grill,29,90,5
Pls Check Cashers,32,110,711
Sparkle Cupcake Company,35,86,185
Fine Wine & Good Spirits,39,75,29
Brandon Burgers,27,82,14
G Peppers Grill & Tavern,28,82,16
Chicago Music Store,32,110,731
Iguana's Mexican Restaurant,39,86,274
Blaze Pizza,29,90,44
The Delaware Contemporary,39,75,4
Baxter's Saloon & Grill,40,75,101
The Hideout Coffee House,27,82,19
Brewster's Pub,39,74,16
Enterprise Rent-A-Car,43,116,818
Burger Village,53,113,681
Pita Pit,32,110,743
Snacks By The Pound,40,75,83
Arizona Tile,32,110,719
Indianapolis Army Navy,39,86,255
New India's Kitchen,38,90,145
Reinette Caf茅 & Patisserie,53,113,680
Papa John's Pizza,38,90,156
Key One,32,110,797
CedarBrook Deli,39,74,39
Contempo Hair Salon,28,82,5
JoJo's Hot Dogs and BBQ,36,86,132
A Personal Touch Cleaning Service,40,75,140
emPIEnada,39,119,1503
Ryan Christopher,40,75,98
Domino's Pizza,28,82,10
Cyclone Car Care,38,90,170
Liberty City Roasters,40,74,9
Dermatology Associates of Indiana,39,86,256
Womens Health Partners,38,90,190
California Tacos and Taproom,34,119,16
Sidekicks Pizza,39,86,227
Elysian Fields Animal Clinic,30,90,4
Sonny's Phat Smoke,39,119,1401
El Sabor Boricua,28,82,21
Jong Ka Jib,40,75,75
Bus Depot Discount VW Parts,40,75,63
Petco,27,82,15
Tokyo Mandarin,39,75,49
Dental Care at Quail Hollow,28,82,32
Apple Barn Cider Bar and General Store,36,86,126
Lens Crafters,27,82,26
Look Hair Care Studio,39,75,69
Apron,39,75,24
L'Occitane en Provence,27,82,5
Bulk Barn,53,113,671
Arcadia Landscape,32,110,742
Century Auto Body,40,75,86
Rogers & Hollands庐 Jewelers,38,90,176
MOSI Food Truck Rally,28,82,33
Marty's Pizza,34,119,59
Parasailing The Pass,27,82,0
Gary's World of Wellness,40,75,126
Marcie Blaine,39,75,70
Taco Truck Stl,38,90,168
JCPenney,30,90,0
Thai Tanic,40,75,144
Metro Diner,40,74,42
Draino,39,75,5
Fleet Feet Sports,38,90,131
The Hip Hop Sandwich Shop,28,82,14
Fetch Academy & Dog Resort,39,86,271
Saint Marys Medical Group,39,119,1481
La Bella China Restaurant,32,110,753
Digestive Diseases Associates of Tampa Bay,27,82,21
Sam's Plaza Shoe Repair,40,74,37
Hertz Car Sales Indianapolis,39,86,233
Element Granite & Quartz,40,75,30
Boise 4x4,43,116,829
Cal Taco,34,119,18
Johnny Rockets,38,90,139
Garage Pizza,29,90,2
El Con Health & Wellness Center,32,110,760
BODHI : Craft Bar + Thai Bistro,39,86,221
Chris' Pizza Village Pleasant View,36,87,218
Sport Clips Haircuts of Springfield,39,75,93
Yi Fa Hair Salon,39,75,42
Bucks-Mont Environmental,40,75,146
August Pearl Salon,36,86,178
Nevada Towing,39,119,1522
"C R Bhatia, DVM - Animal Clinic of Warrington",40,75,122
Thoroughbred Nissan,32,110,782
Cherry Blow Dry Bar,29,90,1
T-Mobile,40,75,52
NY Bagel Cafe & Deli,40,75,93
Little Golden Goose,39,119,1369
V Sandwiches,53,113,684
Candlewood Suites Tucson,32,111,685
Recreational Integrative Wellness Center,40,75,55
Freddy's Frozen Custard & Steakburgers,39,75,52
Medford Village Car Care,39,74,20
Lubrication Corner,35,86,200
Hands On Bicycle,27,82,23
A.K. Lube & Auto,36,87,162
Firestone Complete Auto Care,40,74,51
Colonial Frontiers,32,110,736
Family Carpets,39,75,9
Chick-fil-A,40,75,45
The Main Lion Cat Grooming Salon,40,75,169
Incrediplex,39,85,255
Collective Concept,43,116,828
Yerli's Alterations & Tailoring,39,119,1359
Wink Lash Studio + Bath Bar,39,119,1376
Sherbrooke Liquor Store,53,113,670
Prop and Decor Outlet: The Tent Merchant Inc.,34,119,26
Riverwood Apartments,39,119,1366
Valley Cleaners,39,119,1549
Sign of the Arrow,38,90,157
Olde Black Horse,40,75,37
The Boiling House,39,74,29
Just Churros,32,110,704
Momo's Ouzaria Taverna,38,90,177
Pho Bistro,34,119,19
Reno Downtown Joint,27,82,22
Tattoos by Taz,30,90,5
Studio 240,39,75,22
Pima County Fair,32,110,938
Addendum,39,86,254
Brilliant Nail Spa,35,86,229
City Barbeque,39,86,247
Barista Cafe,40,75,8
Quality Inn & Suites,36,86,184
Modern Printers,43,116,796
Cole Brothers,36,86,160
Mattress Firm West End Avenue,36,86,168
Poppy's Ice Cream,29,89,5
Arhaus,39,86,228
Norma's Sweets Bakery,30,90,1
High Ridge Family Diner,38,90,206
La Cucina Italian Eatery,40,75,58
African Palace Bar And Grill,38,90,171
Bagelicious and More,27,82,30
Tienda Ho,34,119,28
Rusty's Pizza Parlor,34,119,14
University Crossings,39,75,19
Rack n Roll Billiards,39,119,1538
Fox & Hounds Tavern,38,90,181
Preferred Party Place,39,75,37
Manor Riverwalk Luxury Apartments by TRG Management Company,27,82,1
State Street Kitchen,40,74,55
Xtreme Automotive,38,90,155
Majestic Towing,40,75,89
Surreal Virtual Reality Studio,34,119,7
Salon 139,39,86,212
Wawa,39,75,87
Wash N' Roll Car Wash - Madison,36,86,150
A Family Dental Care Center,40,75,74
Xtreme Adventures,28,82,25
Nudy's Cafe - Chadds Ford,39,75,133
Snellgroves Restaurant,28,82,45
Brixx Craft House,43,116,798
RECON Auto Detailing,32,110,920
Adventure Coast Fun Park,28,82,15
Kaiserman JCC,39,75,63
Sushi Wasabi,53,113,667
Locust Lane Craft Brewery,40,75,161
Queen Nails & Spa,43,116,825
The Moose Music Row,36,86,170
Harpeth Cleaners,36,86,179
Arizona Stagecoach,32,110,811
FedEx Office Print & Ship Center,27,82,29
McDonald's,40,74,33
Ron & Jo's Firearms & Sporting Supplies,38,89,174
Hippie Hi,27,82,24
Muse Entertainment,32,111,700
Mattress Factory,40,75,149
barre3 Nashville - The Gulch,36,86,141
Trattoria Totaro,40,75,29
Mount Mogrit Gourmet,39,119,1374
Tucson Iron & Metal,32,110,745
Tolsdorf Oil Lube Express,39,75,129
Katie's Pizza & Pasta Osteria,38,90,194
Krch Realty,39,119,1354
The Cobblestone Eatery and Drinkery,38,89,152
Jack's Barber Shop,38,90,175
Blackrock Brewers,32,110,803
U-Pack Moving,32,110,791
Skippack Sweet Spot,40,75,60
Blarney Stone General Contracting,32,110,766
Babies R US the Baby Superstore,32,110,703
Dune Coffee Roasters - Anacapa,34,119,8
Bang-N Heads Salon,39,119,1380
Kelly's Taproom,40,75,119
Corissa Miller,32,111,760
YOUnion @ Reno,39,119,1412
Exterior Building Solutions,38,90,166
Cantina Los Tres Hombres,39,119,1350
Tire Kingdom,27,82,48
Dead Ringer Analog Bar,39,119,1371
Jiffy Lube,43,116,784
Licata's Italian Deli,40,75,59
Golden Capital Restaurant,53,113,727
Yogurt Court,43,116,800
Gateway Parks Eagle,43,116,772
Siam Elephant,34,119,6
Project Management Academy,39,86,263
Jersey Mike's Subs,39,74,37
DSW Designer Shoe Warehouse,39,74,38
De Ville Coffee House & Creperie,29,90,9
Groove Room Studios,36,86,131
Gallagher's Pub,53,113,666
Massage Heights,53,113,675
Treehouse Yoga for Children,40,75,162
Blue Sage Vegetarian Grille,40,75,85
Hampton Medical Clinic,53,113,693
Nitpicking in NOLA,29,90,34
Visionworks,32,110,701
Dosa Hut Indian Grill,36,86,154
Urban Tan,38,90,141
Golden River Restaurant,40,74,8
Nicola's Pizza,40,74,27
Weinhardt Party Rentals,38,90,154
SmartStyle,31,110,865
Sweetwater Wetlands,32,111,687
B&L Nails Spa,32,110,792
McDonald's,39,86,252
The Original Pancake House,43,116,830
Crush Gourmet Raspados,32,110,759
Octopus Car Wash,32,110,806
Saladworks,40,74,60
Candida's Pizza,40,75,70
Kristi's Pet Grooming,39,119,1518
Global Appliance Parts,40,75,35
Ristenpart Law,39,119,1375
Textbook Brokers UNR,39,119,1388
Reno Tahoe Shuttle,39,119,1454
Creative Beginnings Pre-School & Kindergarten,32,110,727
Courtyard by Marriott Nashville Downtown,36,86,161
ACME Screening Room,40,74,22
The Ladies Room,40,75,102
O'Shucks Seafood & Grill,27,82,3
Beauty Nails,39,74,19
reYOU massage,39,75,47
Paige Simmons Salon,36,86,171
Nailtek,40,75,120
Santa Barbara Athletic Club,34,119,13
Auntie Anne's,28,82,34
Run Montecito-Summerland,34,119,62
Cedar Park Cafe,39,75,33
Joe鈥檚 Pizza and Pasta,38,90,188
HouseMaster Home Inspections,40,75,76
Reno Collective Coworking,39,119,1383
BRAKEmax,32,110,796
Tony Sopranos Pizza,40,74,10
Wawa,40,75,80
Triple R's Smokehouse,38,89,132
Aqua Terra Salon & Spa,28,82,17
Tile Source,38,90,140
US Storage Centers,35,86,220
Intuitive Readings and Meditation with Zev,32,110,730
Edgehill Cafe,36,86,210
Franceschi Park,34,119,234
Distler's Auto Repair,38,89,201
Go Auto Outlet West,53,113,676
Barker Diamond Company,36,86,192
Dr.Green,53,113,678
Pecos Liquor Store,39,75,73
Edible Arrangements,40,75,88
Crowne Plaza Philadelphia - King of Prussia,40,75,48
Foot Locker,39,75,46
Petite 4,43,116,839
LA Fitness,32,111,655
Arch Engraving,38,90,203
Hair By Audrey Johnson,34,119,97
Nancy Le Nails,40,75,95
HomeGoods,40,75,127
Jessie Sessions - Berkshire Hathaway Santa Barbara,34,119,60
"A Jackson Ecker, Inc",40,75,50
Aicha African Hair Braiding,40,75,44
DeGrandis Automotive Center,40,75,107
Keeble's Service,40,75,97
Esthetic Style,27,82,25
Del Taco,39,119,1368
King Ribs Bar-B-Q,39,86,241
ReJuv Medspa,43,116,807
China Wok,40,75,77
Williamson County Animal Center,35,86,192
Taj Mahal Homestyle Indian & Pakistani Cuisine,43,116,833
Another Broken Egg Cafe,39,86,238
Family Beverage,40,75,129
Core Property Services,39,74,15
Los Padres National Forest,34,119,1138
Caring Hands Veterinary Clinic,40,75,38
Burger Up - Franklin,35,86,204
Fleur-de-Lys Mansion,38,90,174
Freedom Smoke USA,32,111,717
Pieology Pizzeria,34,119,17
Purple Penguin Candy Emporium,32,110,767
Rapco Automotive Centers,39,75,68
Painturo's,36,86,191
Boise Towne Square Dental,43,116,820
Noodles & Company,38,90,204
Tabasco Country Store,29,90,10
Dale's Auto Care,43,116,845
Future Fitness,39,74,24
Chester County Dentistry for Children - Exton/Lionville,40,75,163
Spanish Trail Dental Group,32,110,850
Volkswagen Of North Nashville,36,86,140
Five Guys,53,113,720
China Sunrise Restaurant,32,110,845
Axiom Properties & Development,32,110,725
Sharples Works,39,75,143
Subway,40,75,135
Hands On Moving,32,110,724
Rockabilly Grill,32,110,708
Nail Bar Nola,29,90,14
Philadelphia Skating Club and Humane Society,40,75,100
Midas,32,110,764
Nippon Tei,38,90,152
Hyatt Place Philadelphia/King of Prussia,40,75,41
Popeyes Louisiana Kitchen,36,86,134
Willie's Shoe Repair,38,90,150
Sierra Car Wash,39,119,1351
Salon Mosaic,39,119,1358
Italian Style! Italian Restaurant,35,86,237
CJ's Tire & Automotive,40,75,164
T J Maxx,35,86,208
Plume Salon,39,75,8
Classic Cuts,32,111,688
Hotel De L'eau Vive,29,90,22
Taza Mediterranean Grill,27,82,28
Hayes House Hillsboro Village by RAM Partners,36,86,194
Caleco's Bar & Grill,38,90,146
Dream Tea House,53,113,679
Zocalo Village,32,110,717
Integrity Moving Solutions,32,110,740
Abc Resurfacing,32,110,763
Gin-o Boutique,35,86,201
Kinzels Flower Shop,38,90,143
Artistic Expressions Dentistry,40,75,123
The Mona Lisa Lounge,29,90,1
Rapoza Anthony DMD,39,75,32
Brillman's Rental Barn,40,74,47
National Underground,36,86,130
Quality Inn & Suites Near St. Louis And I-255,38,90,125
MetroPawn,39,119,1355
Schnucks - Woods Mill,38,90,192
Smokin' Out,28,82,13
Sawgrass Tiki Bar,28,82,3
Ellis Albert,39,74,30
Basically Buttercream Bakery & Cafe,39,86,269
Slate Bleu Restaurant,40,75,117
Ulta Beauty,39,86,237
Fur and Feather Works,39,119,1365
American Lawn Irrigation,39,74,49
Cabinets To Go,40,75,84
Costello & Mains,39,74,17
Coleman Taylor Transmissions,35,86,214
Southwest Kitchen & Bath,32,110,790
Regal Cinema,28,82,8
Giant Food Stores,40,74,35
Cutting Edge Nutrition,39,86,246
Palo De Azucar Cafe,40,74,17
CA Pro Home Inspection,34,119,66
Mylen Stairs,40,75,61
Domino's Pizza,32,110,734
Ndulge,40,75,21
Molly Mover,43,116,838
Sam Davis Home,35,86,160
Roadrunner Coffee Co.,32,110,700
Fullylove鈥檚 Restaurant,32,110,733
Build-a-Burger,36,86,185
Dunkin',40,75,68
Suzy-Jo Donuts,40,75,24
Paola's Pizzeria,40,75,124
Mundare Sausage House,53,113,656
The Cubby Hole,39,74,27
Grace Meat + Three,38,90,149
Tech Next Door,36,86,181
Value Vet,36,86,159
Turkey Creek Animal Hospital,28,82,41
Comicmania,39,75,28
Jack in the Box,32,110,712
Valley View Apartments - Northland,32,110,729
Causeway Beach Wash,28,82,2
Edley鈥檚,38,89,168
Wash & Dry Laundromat,32,111,733
Brio Italian Grille,38,90,180
Zara Brow Bar,39,74,23
